video_id,mirror_video_id,video_title,syllabus_id,subject,chapter,lecturer,nepali_date,time,notes
NDxIcoQJcEE,Hg0IltA2KA4,GK FOR ALL || SABIN SIR || 2082-12-20 || 8:00 PM,03.03.00,GK FOR ALL,दुइ पक्षिय लगानी प्रवर्दन तथा सुरक्षण सम्झौता,SABIN SIR,2082-12-20,8:00 PM,
8_KsptQfsns,,|| NEPALI || DEVI SIR || 2082-12-20 || 8:00 PM ||,10.01.05,NEPALI,विशेषण र क्रियायोगी,DEVI SIR,2082-12-20,8:00 PM,
WIbMjpsSZoM,,|| NEPALI || DEVI SIR || 2082-12-19 || 8:00 PM ||,10.01.04,NEPALI,पदवर्ग,DEVI SIR,2082-12-19,8:00 PM,
IZCHnES-ROw,,ENGLISH || SAMITA MAM || 2082-12-19 || 7:00 PM,09.02.01-4,ENGLISH,SVA,SAMITA MAM,2082-12-19,7:00 PM,
1Z30_iz5-Ag,5lCrBrkAg0Y,|| NEPALI || DEVI SIR || 2082-12-18 || 8:00 PM ||,10.01.03,NEPALI,पदसङ्गति,DEVI SIR,2082-12-18,8:00 PM,
LdnktdTOEPs,,ENGLISH || SAMITA MAM || 2082-12-18 || 7:00 PM,09.02.01-3,ENGLISH,SVA:-FRACTION CASE,SAMITA MAM,2082-12-18,7:00 PM,| FILE MISSING
7dzy67KiFb0,,|| PRETEST OFFICER || DEVI SIR || 2082-12-17 || 8:00 PM ||,10.01.02,NEPALI,वर्णविन्यास,DEVI SIR,2082-12-17,8:00 PM,
Dztm6woKuTk,gUC6W1TdaRY,ENGLISH || SAMITA MAM || 2082-12-17 || 7:00 PM,09.02.02,ENGLISH,"SYNTAX:- SUBJECT, VERB , AGREEEMENT",SAMITA MAM,2082-12-17,7:00 PM,| FILE MISSING
HSI6lom4QkU,0S0r3B9juyY,|| PRETEST OFFICER || DEVI SIR || 2082-12-16 || 8:00 PM ||,10.01.01,PRETEST OFFICER,शुद्ध लेखन वर्णविन्यास,DEVI SIR,2082-12-16,8:00 PM,| FILE MISSING
_hLVmM1BWiA,,GK FOR ALL || SABIN SIR || 2082-12-16 || 8:00 PM,02.04.03,GK FOR ALL,साक्षरता अभियान,SABIN SIR,2082-12-16,8:00 PM,
f3g9JtTti2U,k7LglIijmcM,ORIENTATION || SAMITA MAM || 2082-12-16 || 7:00 PM,09.02.01-1,ORIENTATION,"SUBJECT , VERB, AGREEMENT",SAMITA MAM,2082-12-16,7:00 PM,| FILE MISSING
frSy9c4WxFY,8ggHFW51mCw,|| PRETEST OFFICER || ORIENTATION || 2082-12-15 || 8:00 PM ||,10.00.00,PRETEST OFFICER,Syllabus-QAD-ORIENTATION,Devi Dahal,2082-12-15,8:00 PM,| FILE MISSING
XCwacVDRK2A,fzFlF_nOi4E,GK FOR ALL || SABIN SIR || 2082-12-15 || 8:00 PM,06.04.01-00,GK FOR ALL,स्वास्थ्य,SABIN SIR,2082-12-15,8:00 PM,| FILE MISSING
7uN3eYxaxI0,,NEA || ENGLISH | || SAMITA LAMICHHANE MAM || 2082-01-18 || 5:00 AM ||,09.02.00,ENGLISH,PARALLESIM,SAMITA LAMICHHANE MAM,2082-01-18,5:00 AM,
